date,MRK-RF,SMB,HML,RF
201601,-0.0577,-0.0336,0.0201,0.0001
201602,-0.0008,0.0083,-0.006,0.0002
201603,0.0696,0.0082,0.0111,0.0002
201604,0.0092,0.0069,0.0328,0.0001
201605,0.0178,-0.0027,-0.016,0.0001
201606,-0.0005,0.0064,-0.014,0.0002
201607,0.0395,0.026,-0.0123,0.0002
201608,0.005,0.0113,0.0331,0.0002
201609,0.0025,0.0204,-0.0121,0.0002
201610,-0.0202,-0.0443,0.0407,0.0002
201611,0.0486,0.0547,0.0822,0.0001
201612,0.0181,0.0011,0.0351,0.0003
201701,0.0194,-0.0106,-0.0281,0.0004
201702,0.0357,-0.0201,-0.0179,0.0004
201703,0.0017,0.0117,-0.0333,0.0003
201704,0.0109,0.0072,-0.0211,0.0005
201705,0.0106,-0.0261,-0.0367,0.0006
201706,0.0078,0.0215,0.0145,0.0006
201707,0.0187,-0.0147,-0.0036,0.0007
201708,0.0016,-0.0162,-0.0219,0.0009
201709,0.0251,0.0447,0.0314,0.0009
201710,0.0225,-0.0195,0.0012,0.0009
201711,0.0312,-0.0058,-0.0009,0.0008
201712,0.0106,-0.0129,0.0017,0.0009
201801,0.0558,-0.0309,-0.0132,0.0011
201802,-0.0365,0.003,-0.0101,0.0011
201803,-0.0235,0.0405,-0.0012,0.0012
201804,0.0029,0.0113,0.005,0.0014
201805,0.0265,0.0528,-0.0315,0.0014
201806,0.0048,0.0119,-0.0231,0.0014
201807,0.0319,-0.0221,0.0057,0.0016
201808,0.0344,0.0115,-0.0392,0.0016
201809,0.0006,-0.0228,-0.0163,0.0015
201810,-0.0768,-0.0478,0.0346,0.0019
201811,0.0169,-0.0071,0.0034,0.0018
201812,-0.0955,-0.0248,-0.0189,0.0019
201901,0.0841,0.0289,-0.0046,0.0021
201902,0.034,0.0212,-0.0271,0.0018
201903,0.011,-0.0305,-0.0419,0.0019
201904,0.0396,-0.0175,0.0202,0.0021
201905,-0.0694,-0.0118,-0.0228,0.0021
201906,0.0693,0.0022,-0.0079,0.0018
201907,0.0119,-0.0208,0.0034,0.0019
201908,-0.0258,-0.024,-0.0485,0.0016
201909,0.0143,-0.0105,0.0677,0.0018
201910,0.0206,0.0024,-0.0188,0.0015
201911,0.0387,0.0091,-0.0205,0.0012
201912,0.0277,0.0067,0.0191,0.0014
202001,-0.0011,-0.0308,-0.0627,0.0013
202002,-0.0813,0.0102,-0.0392,0.0012
202003,-0.1338,-0.0503,-0.1396,0.0012
202004,0.1365,0.0275,-0.0139,0
202005,0.0558,0.0249,-0.0505,0.0001
202006,0.0246,0.0271,-0.0235,0.0001
202007,0.0577,-0.0218,-0.0139,0.0001
202008,0.0763,-0.0025,-0.0294,0.0001
202009,-0.0363,0.0006,-0.0251,0.0001
202010,-0.021,0.0444,0.0403,0.0001
202011,0.1247,0.0548,0.0211,0.0001
202012,0.0463,0.0491,-0.0146,0.0001
